ID,Musicians,PeopleCount,IsDead,Country
1,Nadja,2,2002,0,Canada
2,Spotlights,3,2012,0,"United States"
3,"Slice The Cake",3,2011,1,International
4,Garganjua,3,2012,0,"United Kingdom"
5,OHHMS,5,2014,0,"United Kingdom"
6,"Electric Wizard",4,1993,0,"United Kingdom"
7,Death,4,1983,1,"United States"
8,Batushka,3,2015,1,Poland
9,"Dark Funeral",5,1993,0,Sweden
10,Thrice,4,1998,0,"United States"
11,"The Angelic Process",2,1999,1,"United States"
12,Necrophagia,6,1983,1,"United States"
13,"The Resistance",4,2011,0,Sweden
14,Aborted,5,1995,0,Belgium
